"","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","dum_Gender","dum_Customer","dum_Class","dum_satisfaction"
"28040",26,1109,2,4,2,3,2,2,2,2,4,3,4,3,5,2,4,0,1,1,0,0
"28041",44,325,3,4,3,4,5,3,4,5,5,3,5,2,5,4,0,0,0,1,1,0
"28055",36,577,2,5,3,3,1,3,2,1,3,2,4,4,5,1,0,0,1,1,0,0
"28060",42,448,3,4,3,3,1,4,1,3,3,3,3,1,3,2,25,8,0,1,2,0
"28062",48,1947,1,4,1,3,5,2,4,3,3,1,3,1,3,2,11,0,0,1,0,0
"28080",21,628,2,5,1,4,1,1,1,1,4,3,5,5,4,1,0,0,0,1,0,0
"28081",59,196,3,5,3,2,4,5,5,5,5,3,5,5,5,4,2,0,0,1,0,0
"28082",66,328,2,4,5,3,5,5,4,2,2,5,3,4,2,3,0,0,0,1,2,0
"28085",34,2475,2,3,2,4,1,2,1,1,5,3,4,1,1,1,0,0,1,1,0,0
"28097",30,409,2,5,2,1,2,2,2,2,5,3,5,4,5,2,0,0,0,1,1,0
"28098",58,634,2,3,2,3,5,2,3,5,2,1,3,4,3,5,0,0,1,1,0,0
"28114",17,328,2,4,2,3,5,2,5,5,3,1,2,4,5,5,3,11,0,1,0,0
"28116",70,719,1,4,1,3,5,1,5,5,4,5,5,5,4,5,0,0,1,1,0,0
"28120",16,536,1,5,1,2,5,1,5,5,3,2,4,3,5,5,0,0,0,1,0,0
"28121",30,239,5,5,5,3,4,5,4,4,4,3,4,3,4,4,2,0,0,1,1,1
"28123",35,507,3,5,3,1,2,3,4,2,3,2,4,4,4,2,0,0,1,1,1,0
"28124",64,744,2,4,2,1,3,4,5,4,4,2,1,2,4,4,0,6,0,1,0,0
"28128",59,1874,2,1,2,1,3,2,3,3,1,4,2,1,1,3,0,0,1,1,0,0
"28131",35,600,2,3,2,3,2,2,2,2,4,4,2,5,2,2,9,5,1,1,0,0
"28133",52,944,3,4,3,3,4,3,3,2,2,3,2,2,2,4,7,3,0,1,0,0
"28135",18,1199,2,3,2,1,3,2,3,3,3,3,3,2,5,3,5,0,1,1,0,0
"28137",35,373,3,1,1,2,2,1,2,2,2,4,1,4,2,2,0,4,1,1,0,0
"28138",8,2615,2,4,2,2,2,5,3,5,3,3,5,3,3,3,0,0,1,1,0,0
"28140",15,735,4,2,4,3,1,4,1,1,2,4,3,4,4,1,0,0,1,1,1,0
"28144",12,630,2,1,2,3,3,2,3,3,3,5,4,2,4,3,0,0,1,1,0,0
"28147",59,1192,3,4,3,3,5,3,5,5,2,1,4,4,1,5,0,0,1,1,0,0
"28148",57,1416,2,2,1,4,3,4,4,4,4,1,4,2,4,4,0,0,0,1,0,0
"28157",21,191,1,5,1,2,3,1,3,3,4,4,4,4,5,3,0,0,0,1,0,0
"28159",26,134,2,4,2,1,5,2,5,5,3,2,5,4,5,5,0,0,1,1,0,0
"28160",24,920,5,5,5,1,4,5,1,4,3,2,5,4,5,4,9,1,1,1,0,1
"28165",47,1744,1,2,1,4,2,4,3,3,3,1,3,1,3,4,8,6,0,1,0,0
"28172",58,837,3,5,3,2,4,5,5,1,1,3,1,5,1,2,0,0,0,1,0,0
"28173",59,605,1,5,1,5,4,4,5,3,3,1,3,3,3,5,0,7,1,1,2,0
"28185",36,589,4,4,4,2,2,4,2,2,5,5,5,4,5,2,0,0,1,1,0,0
"28187",34,1276,1,5,1,5,4,1,2,4,3,4,5,5,5,4,0,0,1,1,0,0
"28188",19,762,3,4,3,3,1,3,1,1,5,4,5,2,3,1,0,0,0,1,0,0
"28189",70,347,3,5,3,3,4,5,5,1,1,3,1,3,1,3,21,12,0,1,1,0
"28192",29,1947,4,5,4,1,2,4,4,2,5,2,4,4,5,2,0,0,0,1,2,0
"28193",12,432,5,5,5,4,5,5,5,5,1,1,5,2,2,5,0,0,0,1,0,1
"28196",11,543,2,5,2,1,1,2,1,1,4,3,5,4,5,1,7,0,0,1,2,0
"28197",56,581,2,4,2,3,4,2,1,4,5,4,5,5,5,4,4,0,1,1,0,0
"28201",58,236,2,5,2,2,4,2,4,4,5,2,5,5,5,4,5,0,1,1,0,0
"28204",14,640,1,4,1,3,4,1,4,4,5,3,5,4,5,4,4,1,1,1,0,0
"28206",64,1167,3,4,3,2,2,3,2,2,5,5,5,5,5,2,4,0,1,1,0,0
"28213",57,528,2,4,2,2,4,2,4,4,3,4,5,3,4,4,5,0,1,1,0,0
"28217",33,2994,3,4,3,3,4,3,5,4,2,2,4,4,3,4,0,0,1,1,0,0
"28218",51,612,2,5,1,3,4,5,5,5,5,1,5,3,5,5,0,0,0,1,0,0
"28221",43,1440,4,4,5,1,5,4,5,4,4,5,4,5,4,5,0,0,1,1,2,1
"28226",65,834,2,4,2,4,2,3,3,4,4,2,4,3,4,1,0,0,0,1,0,0
"28228",43,516,3,4,3,4,1,3,1,1,5,3,4,4,4,1,0,0,1,1,0,0
"28235",31,196,3,2,3,4,5,3,5,5,4,4,3,2,3,5,0,11,1,1,0,0
"28236",57,862,3,4,4,2,5,4,5,5,4,4,5,5,4,5,0,0,1,1,0,0
"28243",49,798,3,5,3,1,4,1,3,4,4,3,4,5,4,4,0,0,0,1,0,0
"28252",56,1073,3,4,3,1,3,4,5,2,2,3,2,4,2,5,1,11,0,1,1,0
"28271",59,1195,2,5,2,4,3,4,4,4,4,2,4,5,4,4,9,9,0,1,0,0
"28276",60,1096,1,1,1,3,1,1,1,1,2,5,4,4,4,1,0,0,1,1,0,0
"28277",64,650,2,4,2,4,1,2,1,1,4,2,4,1,5,1,0,5,1,1,0,0
"28278",69,964,3,2,3,3,4,3,2,5,5,3,5,1,5,3,0,0,0,1,0,0
"28285",16,964,4,5,4,2,1,4,1,1,4,2,5,3,5,1,0,0,0,1,2,0
"28287",11,895,1,1,1,1,3,1,4,3,3,1,2,3,1,3,16,3,0,1,0,0
"28288",65,781,2,2,2,4,5,2,5,5,1,5,4,3,4,5,0,0,1,1,0,0
"28294",32,226,4,1,4,3,3,4,3,3,2,2,3,2,3,3,23,9,1,1,0,0
"28296",32,678,3,5,3,2,1,3,3,1,4,5,5,3,4,1,0,0,0,1,0,0
"28302",34,1009,1,4,1,2,1,1,1,1,5,5,4,1,3,1,0,0,0,1,0,0
"28303",10,1179,4,5,4,4,2,4,2,2,4,5,3,4,4,2,4,6,1,1,0,1
"28309",26,515,3,4,4,4,5,4,5,5,2,4,1,3,4,5,2,12,1,1,0,0
"28319",7,302,1,5,5,1,4,5,3,4,4,4,5,5,5,4,0,0,0,1,0,0
"28327",16,746,2,3,1,3,3,1,3,3,3,3,4,3,3,3,1,4,0,1,0,0
"28332",22,451,1,4,1,1,1,1,1,1,5,4,4,3,5,1,0,1,1,1,0,0
"28333",52,354,3,4,3,1,2,3,1,2,4,3,4,5,4,2,0,0,1,1,0,0
"28339",13,1797,3,4,3,4,5,3,5,5,2,4,4,2,4,5,0,0,0,1,1,0
"28345",23,240,4,1,4,2,4,4,2,4,1,3,3,3,2,4,0,0,1,1,0,0
"28349",56,1121,2,2,3,4,1,4,3,5,5,3,5,4,5,4,20,12,0,1,0,0
"28350",16,332,2,5,2,2,5,2,5,5,4,2,4,3,4,5,0,0,1,1,1,0
"28360",62,1590,2,4,3,1,1,4,3,4,4,3,4,3,4,2,0,0,0,1,0,0
"28363",65,160,4,5,4,5,4,4,4,4,4,4,1,4,4,5,0,0,0,1,0,0
"28366",8,351,2,5,2,1,3,2,3,3,4,5,5,3,5,3,0,0,0,1,0,0
"28368",45,406,4,5,4,2,4,4,4,4,5,5,5,5,4,4,0,0,1,1,0,0
"28376",46,844,3,5,2,2,2,2,2,2,4,3,5,4,5,2,10,10,1,1,0,0
"28380",10,985,2,5,2,5,2,2,2,2,3,2,4,5,5,2,0,0,1,1,0,0
"28385",31,867,1,5,1,3,4,1,4,4,4,4,4,5,4,4,0,6,1,1,0,0
"28387",59,1276,4,4,4,3,4,5,4,3,3,4,3,3,3,4,0,0,0,1,0,0
"28390",17,1235,3,4,3,4,4,3,4,4,3,5,5,3,4,4,3,0,0,1,0,0
"28393",9,1744,1,5,1,2,2,1,2,2,3,4,3,5,5,2,0,0,1,1,0,0
"28397",43,834,1,5,1,2,5,1,5,5,5,1,5,3,5,3,0,0,0,1,1,0
"28415",26,601,2,4,3,2,3,3,3,3,4,3,3,3,5,3,0,0,0,1,0,0
"28416",20,711,2,4,2,3,4,2,4,4,3,4,4,5,5,4,0,0,1,1,0,0
"28424",20,1342,4,5,4,3,5,4,5,5,3,3,5,4,4,5,7,0,0,1,0,1
"28425",21,301,3,4,4,4,2,4,4,2,4,2,4,5,4,2,0,0,0,1,0,0
"28429",24,151,4,5,4,2,2,4,2,2,4,5,5,5,4,2,0,0,0,0,0,1
"28435",62,370,3,4,3,4,1,3,4,1,1,3,1,3,1,1,15,10,0,1,0,0
"28444",13,991,1,4,1,4,3,1,3,3,5,2,4,5,5,3,1,0,0,1,0,0
"28447",64,1471,5,4,5,3,5,4,5,5,5,5,5,4,5,4,0,0,0,1,0,1
"28450",39,1157,3,5,3,3,5,3,2,5,3,5,5,5,4,5,0,0,1,1,0,0
"28456",11,1194,4,5,4,1,4,4,4,4,5,4,3,5,5,4,2,0,0,1,0,1
"28479",44,414,2,4,2,1,1,4,2,5,5,2,5,3,5,3,0,0,0,1,0,0
"28483",45,429,2,1,2,2,2,2,2,5,5,2,5,4,5,2,21,7,0,1,0,0
"28488",34,639,2,5,1,1,5,1,5,5,3,5,5,4,5,5,7,5,1,1,0,0
"28489",46,213,3,4,3,3,4,5,5,2,2,3,3,5,2,5,0,0,0,1,0,0
"28490",42,954,3,4,2,3,3,2,3,3,3,1,1,1,5,3,3,12,1,1,0,0
"28494",58,287,2,5,2,1,2,2,2,2,3,5,4,3,5,2,0,11,1,1,0,0
"28495",68,748,5,4,5,3,3,5,4,3,3,5,3,4,3,5,0,0,0,1,1,1
"28502",18,965,5,5,4,1,4,4,1,4,3,5,5,4,5,4,15,1,1,1,1,1
"28508",31,254,5,3,5,1,1,5,1,1,4,1,3,4,3,1,0,0,0,1,0,1
"28509",33,273,2,4,2,2,3,2,3,3,4,2,1,4,1,3,0,6,0,1,1,0
"28510",41,1849,3,3,3,3,2,3,2,2,3,5,1,2,5,2,5,0,0,1,0,0
"28513",59,156,3,4,3,3,3,4,4,3,3,3,3,3,3,5,0,0,0,1,0,0
"28515",12,347,1,4,1,3,1,1,5,1,4,1,2,3,4,1,0,0,0,1,0,0
"28517",64,933,2,4,2,2,1,2,1,1,3,4,4,5,5,1,0,0,1,1,0,0
"28525",66,216,2,3,2,1,3,2,3,3,2,5,3,3,4,3,0,0,1,1,0,0
"28527",26,1235,4,4,4,1,5,4,5,5,3,3,4,4,5,5,0,0,1,1,0,0
"28528",38,987,2,4,2,1,4,2,4,4,2,3,3,2,1,4,0,0,1,1,0,0
"28529",65,630,4,1,5,4,5,3,4,3,3,5,1,3,3,3,0,0,0,1,0,0
"28531",27,631,2,5,2,2,5,2,5,5,4,4,5,3,4,5,0,0,1,1,1,0
"28540",8,486,2,5,5,5,3,5,3,3,4,4,4,5,4,3,19,1,0,1,1,0
"28551",58,458,3,3,3,4,5,3,1,5,4,2,2,5,2,5,0,0,1,1,0,0
"28552",15,1086,1,4,1,4,1,1,1,1,3,2,5,5,5,1,3,4,0,1,0,0
"28555",57,606,3,1,3,4,4,4,4,5,5,3,3,4,5,2,9,0,0,1,0,0
"28557",40,196,3,5,3,1,2,3,2,2,5,5,5,4,4,2,0,0,1,1,1,0
"28564",56,1723,2,4,2,2,1,2,1,1,3,2,3,4,4,1,4,0,1,1,0,0
"28565",40,173,3,3,3,1,2,3,2,2,4,1,4,3,3,2,4,0,1,1,0,0
"28586",27,758,1,4,1,5,4,1,4,4,3,2,5,3,5,4,1,1,1,1,0,0
"28589",21,1597,3,2,3,4,3,3,1,3,4,3,4,4,3,3,3,0,1,1,0,0
"28590",61,306,2,4,2,5,3,5,5,1,1,2,1,3,1,4,0,0,0,1,0,0
"28591",64,404,3,5,3,4,5,2,3,3,3,3,3,4,3,1,0,0,0,1,0,0
"28595",35,1065,1,3,1,4,2,1,2,2,2,2,3,4,4,2,6,0,1,1,0,0
"28596",29,980,4,5,4,3,1,4,1,1,5,5,4,5,4,1,0,0,1,1,1,1
"28603",44,508,3,4,3,3,5,4,5,2,2,3,5,4,2,5,25,12,0,1,2,0
"28606",53,984,2,4,2,3,5,3,3,5,5,2,5,4,5,3,1,0,0,1,0,0
"28612",50,507,1,4,1,4,4,1,4,4,4,3,4,5,5,4,0,0,1,1,0,0
"28626",47,346,3,5,3,1,5,5,5,3,3,3,3,5,3,5,0,0,0,1,0,0
"28631",19,338,3,2,3,4,3,3,3,3,2,3,3,4,3,3,0,0,0,1,0,0
"28643",31,2541,3,4,3,3,3,4,1,4,3,4,5,1,5,1,1,0,0,1,0,0
"28644",67,1635,2,4,2,1,4,2,4,4,3,5,5,5,5,4,1,0,1,1,0,0
"28648",46,143,2,2,2,4,1,4,3,1,1,2,1,1,1,4,0,4,0,1,0,0
"28649",24,347,2,5,2,4,2,2,2,2,5,4,4,5,4,2,0,1,1,1,0,0
"28651",45,993,2,4,2,4,2,2,2,2,4,3,4,4,4,2,0,0,1,1,0,0
"28658",21,596,3,3,3,3,1,3,1,1,4,3,2,4,3,1,0,0,1,1,0,0
"28660",15,867,1,3,1,1,3,1,3,3,2,3,4,2,2,3,0,0,0,1,0,0
"28666",59,541,4,5,2,1,2,2,2,2,4,3,4,5,4,2,0,0,1,1,0,0
"28676",29,2350,1,3,1,4,1,3,3,3,2,3,4,3,4,3,0,0,1,1,0,0
"28681",50,1235,2,4,2,5,4,2,4,4,3,2,3,5,4,4,6,4,1,1,0,0
"28684",40,139,1,4,1,3,4,1,4,4,4,5,3,4,4,4,0,0,0,1,0,0
"28688",59,369,3,4,3,3,3,4,4,4,4,3,4,4,4,4,0,0,0,1,0,0
"28691",39,862,5,4,5,3,3,5,5,3,2,3,4,2,4,3,3,0,0,1,0,1
"28695",56,507,3,5,3,1,5,5,4,4,4,3,4,5,4,3,3,1,0,1,0,0
"28718",17,955,3,4,3,3,5,3,5,5,3,5,4,4,4,5,0,0,1,1,0,0
"28720",58,237,3,4,3,3,2,5,4,5,5,3,5,4,5,3,0,0,0,1,0,0
"28735",63,650,4,4,3,4,2,3,2,2,4,4,3,1,4,2,0,0,1,1,0,1
"28741",7,672,4,2,4,4,1,4,1,1,3,2,4,1,4,1,0,0,0,1,0,1
"28742",9,1035,2,4,2,3,5,2,5,5,3,3,4,5,4,5,12,0,1,1,0,0
"28746",21,903,4,5,4,2,3,4,1,3,3,2,4,5,5,3,0,9,1,1,2,0
"28747",12,212,2,1,2,3,5,2,5,5,2,2,4,2,3,5,0,0,1,1,0,0
"28753",41,216,3,2,3,3,3,3,2,3,4,5,3,3,3,3,0,0,1,1,0,0
"28754",39,1188,1,4,1,3,3,3,5,2,2,1,2,4,2,5,0,9,0,1,2,0
"28755",28,1069,1,5,1,1,3,1,3,3,3,4,4,4,4,3,6,0,1,1,0,0
"28763",11,337,4,5,2,5,2,2,2,2,3,4,4,5,4,2,0,0,1,1,0,0
"28773",28,296,4,4,4,4,3,4,3,3,2,2,3,2,3,3,0,0,1,1,0,0
"28774",53,297,2,2,2,2,5,2,5,5,3,4,2,2,3,5,2,0,1,1,0,0
"28782",17,175,1,4,1,4,1,1,1,1,5,2,4,2,5,1,0,0,0,1,0,0
"28783",9,456,3,5,3,4,1,3,1,1,5,4,4,3,1,1,9,0,1,1,0,0
"28785",18,2475,2,1,2,4,5,2,5,5,2,3,3,4,4,5,0,0,0,1,0,0
"28790",51,1172,1,2,1,3,4,1,4,4,1,2,3,2,3,4,13,2,1,1,0,0
"28791",56,834,1,2,1,3,3,3,4,3,3,1,3,1,3,2,0,0,0,1,0,0
"28792",69,817,2,4,1,3,1,1,1,1,1,2,4,4,4,1,0,0,1,1,1,0
"28809",36,749,4,5,4,3,5,4,5,5,2,3,5,3,3,5,0,8,0,1,0,0
"28827",56,361,2,5,2,3,4,5,4,1,1,2,1,5,1,3,0,3,0,1,0,0
"28828",52,356,2,5,2,4,1,2,1,1,3,5,5,4,5,1,8,7,1,1,0,0
"28834",12,526,2,4,2,1,1,2,1,1,5,4,5,3,5,1,10,0,0,1,0,0
"28835",24,622,2,4,2,4,3,2,3,3,4,2,5,4,5,3,1,2,0,1,0,0
"28836",12,1211,3,1,3,2,3,3,3,3,2,5,3,2,3,3,0,0,1,1,0,0
"28841",38,395,2,4,2,5,5,2,5,5,4,3,5,3,4,5,0,0,0,1,0,0
"28847",26,214,1,5,1,5,3,1,5,3,3,3,5,4,4,3,0,2,0,1,0,0
"28857",62,1024,4,5,4,4,5,4,5,5,5,4,5,5,5,3,0,0,0,1,0,1
"28869",25,1524,3,2,3,3,5,3,5,5,1,1,2,2,3,5,4,0,0,1,0,0
"28873",48,682,1,1,1,4,5,3,4,3,3,1,3,2,3,4,0,0,0,1,2,0
"28878",18,160,5,5,5,2,3,5,3,3,4,4,5,3,5,3,0,0,0,1,0,1
"28880",60,624,4,4,4,3,3,4,3,3,4,4,3,2,4,3,0,0,1,1,0,0
"28887",40,2133,2,4,2,4,2,2,2,2,1,4,4,3,4,2,0,0,0,1,0,0
"28897",16,488,4,4,4,4,1,4,1,1,4,5,3,4,3,1,0,0,1,1,0,0
"28904",16,634,3,1,3,4,4,3,3,4,4,5,4,2,3,4,0,0,0,1,2,0
"28910",68,2267,4,5,4,1,4,3,4,2,2,4,2,5,2,3,0,0,0,1,0,0
"28918",61,2556,2,2,2,3,1,2,4,1,1,2,1,2,1,1,0,0,0,1,2,0
"28920",47,853,3,1,2,3,1,2,1,1,1,4,3,4,3,1,3,0,1,1,0,0
"28921",18,1814,3,5,3,4,5,3,5,5,4,5,3,5,4,5,3,0,0,1,0,0
"28924",52,2075,3,5,3,2,2,3,2,2,3,4,3,4,5,2,0,0,1,1,0,0
"28940",66,337,3,4,3,3,4,3,4,4,2,2,3,1,4,4,3,0,1,1,0,0
"28941",25,862,2,3,2,4,4,2,4,4,1,1,3,3,3,4,0,0,1,1,0,0
"28949",65,1589,2,4,2,3,4,2,4,4,3,2,5,4,5,4,0,0,1,1,0,0
"28955",43,300,2,4,2,2,3,5,4,4,4,2,4,4,4,3,0,0,0,1,0,0
"28958",56,209,2,3,2,3,3,2,3,3,4,1,3,3,3,3,0,6,1,1,0,0
"28960",60,937,3,5,3,2,1,3,1,1,5,2,5,3,4,1,0,0,1,1,0,0
"28967",25,113,2,1,2,4,3,2,3,3,4,4,3,3,3,3,0,0,1,1,0,0
"28970",37,787,1,5,1,2,1,1,2,1,5,3,4,3,5,1,0,0,0,1,0,0
"28976",48,603,3,4,3,3,5,5,4,1,1,3,1,3,1,3,0,0,0,1,0,0
"28978",39,1162,1,5,1,2,5,1,5,5,3,3,4,4,4,5,0,0,1,1,0,0
"28982",8,1431,3,1,3,2,5,3,5,5,2,5,2,2,1,5,0,0,1,1,0,0
"28985",28,2446,3,4,3,3,4,3,4,4,4,4,3,4,4,4,0,0,0,1,0,0
"28986",63,329,1,1,1,3,3,3,3,1,1,1,1,4,1,2,0,0,0,1,0,0
"28987",44,1197,5,3,5,3,2,4,2,5,5,5,5,3,5,2,0,0,0,1,2,1
"28991",48,436,3,2,3,4,4,3,4,4,1,5,3,4,3,4,0,0,1,1,0,0
"28994",43,883,2,2,2,4,2,4,4,1,1,2,1,3,1,2,1,0,0,1,0,0
"28997",48,272,2,4,2,3,1,2,1,1,4,5,4,4,4,1,0,0,1,1,1,0
"29006",67,1709,2,2,2,4,3,2,3,3,1,2,4,2,3,3,0,0,1,1,0,0
"29009",34,840,3,5,3,3,5,3,5,5,3,4,4,5,4,5,0,0,0,1,0,0
"29012",62,1514,3,3,3,3,5,3,3,5,5,3,5,1,5,3,0,0,0,1,0,0
"29032",17,589,1,4,1,2,4,1,3,4,3,4,3,3,4,4,19,7,0,1,0,0
"29033",16,369,4,1,4,3,3,4,3,3,2,2,3,3,4,3,0,0,1,1,0,0
"29038",54,297,3,4,3,2,5,5,5,4,4,3,4,5,4,3,0,0,0,1,0,0
"29041",8,899,2,5,2,2,2,2,2,2,4,2,5,4,4,2,0,10,1,1,0,0
"29046",35,199,4,5,4,3,3,4,3,3,3,5,5,3,4,3,0,0,1,1,0,1
"29048",34,601,4,4,4,3,4,4,4,4,4,2,1,1,5,4,0,0,1,1,1,0
"29051",69,1562,1,3,1,2,4,1,5,4,1,1,2,4,2,4,0,0,1,1,1,0
"29052",56,813,3,2,3,4,1,2,4,3,3,3,4,2,3,3,14,6,0,1,0,0
"29053",19,480,1,4,1,3,2,1,3,2,3,2,4,1,4,2,0,0,0,1,0,0
"29068",13,408,2,5,4,1,2,4,2,2,5,5,5,5,5,2,0,1,0,1,0,0
"29081",47,1084,4,4,4,3,2,4,5,4,4,4,4,4,4,5,0,0,0,1,2,1
"29086",11,160,1,4,1,2,2,1,1,2,3,5,4,3,4,2,20,4,1,1,0,0
"29097",39,386,3,2,3,3,3,3,3,3,1,2,4,4,3,3,0,0,0,1,0,0
"29103",41,762,1,5,1,1,3,1,4,3,5,3,5,3,5,3,0,0,0,1,0,0
"29107",41,534,3,5,3,3,5,3,5,5,5,3,5,3,5,5,6,0,1,1,0,0
"29109",61,864,2,4,2,5,2,4,4,1,1,2,1,4,1,5,0,10,0,1,1,0
"29110",54,544,2,4,2,3,2,4,3,3,3,2,3,2,3,2,0,0,0,1,0,0
"29115",22,84,3,4,3,3,2,3,2,2,4,4,4,4,5,2,0,2,0,1,0,0
"29120",48,738,1,5,1,4,2,1,2,2,5,5,5,3,5,2,0,0,1,1,0,0
"29127",49,201,1,2,1,2,1,3,3,2,2,1,2,2,2,4,0,0,0,1,0,0
"29133",19,674,3,5,2,1,4,2,3,4,4,3,4,3,4,4,0,0,0,1,0,0
"29134",68,667,3,5,3,3,3,4,5,1,1,3,1,3,1,4,0,0,0,1,0,0
"29135",58,507,5,5,5,3,3,5,4,4,4,5,4,5,4,3,4,0,0,1,0,1
"29136",54,280,1,2,1,2,1,1,4,1,4,5,1,2,2,1,0,0,1,1,0,0
"29145",32,419,1,4,1,3,5,1,5,5,5,2,4,4,4,5,0,0,1,1,1,0
"29155",28,744,2,5,2,4,4,2,4,4,5,5,3,2,1,4,0,0,1,1,1,0
"29160",61,228,3,5,3,3,2,5,4,4,4,3,4,4,4,4,0,0,1,1,2,0
"29165",12,451,1,3,1,2,5,1,5,5,2,2,5,4,2,5,0,7,1,1,0,0
"29168",27,808,4,1,4,3,5,4,5,5,1,5,3,3,4,5,0,0,1,1,0,1
"29169",38,240,2,4,2,4,2,4,4,4,4,2,1,3,4,3,0,0,1,1,2,0
"29170",47,2300,2,4,2,2,5,2,5,5,3,4,3,4,4,5,0,0,1,1,0,0
"29177",52,238,1,4,1,4,4,1,4,4,3,2,5,5,4,4,0,0,1,1,0,0
"29184",21,954,3,4,3,1,1,3,1,1,2,5,3,2,1,1,0,0,1,1,1,0
"29185",51,1121,2,5,2,3,2,2,2,2,3,4,4,3,4,2,7,0,1,1,0,0
"29186",37,192,3,4,3,3,1,3,1,1,4,4,4,3,5,1,0,0,1,1,0,0
"29202",29,761,3,5,3,3,4,3,4,4,4,4,5,4,4,4,0,0,0,1,0,0
"29210",60,1372,4,5,5,2,3,4,4,3,3,5,3,3,3,3,0,0,0,1,0,0
"29214",32,752,4,4,4,3,1,4,1,1,5,3,5,4,4,1,0,0,0,1,0,1
"29215",44,1235,1,2,1,2,2,2,3,1,1,1,1,1,1,3,0,0,0,1,0,0
"29218",32,1608,3,5,4,3,3,4,3,3,5,4,5,3,4,3,8,4,1,1,0,0
"29219",15,2724,4,4,4,2,4,4,4,4,5,3,4,4,3,4,0,0,1,1,0,1
"29233",23,544,3,1,3,4,5,3,5,5,3,4,3,4,3,5,0,0,1,1,0,0
"29241",29,1208,2,1,2,2,2,2,2,2,4,1,2,4,2,2,7,3,0,1,0,0
"29244",28,468,4,5,4,4,4,4,5,4,5,4,2,3,2,4,0,0,0,1,0,1
"29249",59,1172,3,4,3,2,2,3,2,2,4,5,5,3,4,2,0,8,1,1,0,0
"29253",8,925,4,4,4,3,3,4,4,3,5,5,5,3,1,3,0,0,0,1,0,0
"29255",59,944,2,4,3,2,5,5,4,4,4,3,4,2,4,1,3,0,0,1,0,0
"29258",41,425,4,1,4,4,2,4,3,2,2,4,3,1,4,2,0,0,0,1,0,0
"29264",7,342,4,4,4,3,4,4,4,4,5,5,5,3,5,4,3,0,1,1,2,0
"29266",32,1069,4,5,4,1,2,4,2,2,3,5,4,3,4,2,0,0,0,1,0,0
"29267",34,600,2,3,2,2,5,2,4,5,3,4,2,4,2,5,0,0,0,1,1,0
"29275",27,2556,4,4,4,3,5,4,5,5,4,5,5,4,5,5,3,0,0,1,0,0
"29276",51,632,4,3,4,3,5,3,3,5,5,4,5,2,5,1,0,0,0,1,0,0
"29277",45,737,5,2,5,3,2,5,2,2,2,5,4,3,4,2,0,0,0,0,0,1
"29285",69,458,1,4,1,1,5,1,5,5,5,4,5,4,4,5,0,0,1,1,0,0
"29286",11,404,2,5,2,3,2,2,2,2,5,5,5,4,5,2,0,0,1,1,0,0
"29297",32,541,2,4,2,3,2,2,5,2,4,4,3,3,5,2,0,0,1,1,0,0
"29300",48,404,1,5,1,3,5,5,4,4,4,1,4,3,4,4,1,0,0,1,2,0
"29302",10,1050,4,5,3,2,3,3,4,3,5,5,4,3,5,3,0,0,1,1,0,1
"29304",60,592,3,5,3,4,3,5,3,2,2,3,4,3,2,1,0,0,0,1,1,0
"29307",61,1620,4,4,4,3,2,4,2,2,5,5,5,5,4,2,2,5,1,1,0,1
"29308",63,402,1,5,1,3,5,4,4,4,4,1,4,5,4,3,0,0,0,1,1,0
"29310",54,1721,3,1,3,3,2,3,2,2,2,4,1,1,3,2,6,9,1,1,0,0
"29318",41,1188,4,1,5,3,1,5,1,1,4,4,4,2,3,1,1,0,0,1,0,1
"29320",28,2447,3,5,3,2,2,3,2,2,3,5,4,1,1,2,0,0,0,1,0,0
"29325",18,1243,4,1,4,3,2,4,4,2,2,5,1,3,2,2,2,0,1,1,0,0
"29333",70,817,2,5,2,4,4,5,4,4,4,2,2,3,4,3,0,0,0,1,0,0
"29337",45,1052,3,5,3,2,2,3,2,2,4,4,4,5,5,2,16,4,1,0,0,0
"29339",23,641,4,5,4,2,2,4,2,2,3,3,4,4,4,2,0,1,0,1,0,0
"29341",16,1089,2,2,2,3,5,2,5,5,2,4,4,2,4,5,0,0,0,1,0,0
"29353",29,74,3,4,3,4,2,3,2,2,4,3,3,2,4,2,0,0,1,1,0,0
"29355",49,345,2,4,2,3,3,4,4,5,5,2,3,3,5,3,6,0,0,1,0,0
"29356",28,954,2,4,2,3,3,2,3,3,5,2,5,5,4,3,0,1,0,1,0,0
"29357",9,296,2,1,2,4,4,2,5,4,2,5,4,1,3,4,0,0,1,1,0,0
"29359",13,403,2,3,2,2,1,2,1,1,5,2,1,2,5,1,0,4,0,1,0,0
"29362",24,694,3,5,2,1,3,2,3,3,5,2,5,5,4,3,0,0,1,1,0,0
"29367",24,1947,2,4,2,4,1,2,1,1,3,5,5,3,4,1,0,0,1,1,0,0
"29368",13,912,2,5,2,3,1,2,1,1,5,5,5,4,5,1,0,0,1,1,0,0
"29370",28,227,2,1,2,4,4,2,4,4,3,3,4,3,4,4,0,0,1,1,1,0
